70,20,4
2,10,5
10,14,4
109,12,4
20,13,4
15,8,5
4,14,5
14,8,6
3,10,6
11,13,2
1,19,3
14,20,3
6,12,4
19,13,4
1,10,5
43,12,5
5,13,5
5,14,5
23,15,5
3,16,5
10,8,6
1,14,6
12,6,7
10,13,7
72,13,1
19,16,1
43,17,1
48,7,2
7,19,2
30,21,2
12,9,3
5,10,3
82,14,3
12,15,3
101,16,3
22,17,3
19,18,3
55,8,4
4,9,4
4,10,4
12,11,4
11,12,4
129,13,4
186,14,4
7,15,4
2,16,4
58,20,4
10,6,5
1,7,5
93,8,5
75,9,5
84,10,5
203,11,5
81,12,5
393,13,5
153,14,5
122,15,5
25,16,5
4,17,5
73,18,5
74,7,6
69,8,6
157,9,6
238,10,6
54,11,6
196,12,6
237,13,6
8,14,6
387,15,6
1,16,6
9,7,2
16,8,2
49,9,2
20,10,2
18,11,2
22,12,2
23,13,2
37,14,2
39,15,2
108,16,2
11,17,2
22,19,2
47,20,2
7,21,2
33,6,3
26,7,3
20,8,3
17,10,3
26,11,3
49,12,3
13,13,3
7,14,3
2,15,3
69,16,3
16,17,3
2,18,3
1,19,3
16,6,4
22,7,4
11,8,4
2,9,4
36,10,4
4,11,4
10,12,4
38,13,4
9,14,4
9,16,4
12,17,4
32,19,4
3,6,5
26,7,5
48,8,5
1441,9,5
1568,10,5
1049,11,5
265,12,5
957,13,5
256,14,5
317,15,5
282,16,5
327,17,5
475,18,5
356,19,5
142,20,5
102,21,5
1,22,5
7,2,6
127,3,6
84,4,6
124,5,6
246,6,6
320,7,6
343,8,6
395,9,6
348,10,6
491,11,6
235,12,6
90,13,6
77,14,6
11,15,6
117,16,6
121,17,6
55,18,6
26,19,6
47,20,6
61,21,6
1,22,6
18,23,6
5,3,7
83,5,7
11,6,7
90,7,7
122,8,7
63,9,7
2,10,7
193,11,7
4,12,7
29,13,7
41,14,7
3,15,7
19,16,7
6,17,7
15,18,7
89,19,7
17,20,7
24,21,7
38,5,1
35,6,1
110,7,1
28,8,1
74,9,1
30,10,1
70,11,1
68,12,1
66,13,1
88,14,1
35,15,1
56,16,1
78,17,1
161,18,1
146,19,1
3,20,1
11,21,1
11,3,2
79,4,2
247,5,2
396,6,2
493,7,2
487,8,2
368,9,2
452,10,2
563,11,2
304,12,2
235,13,2
166,14,2
108,15,2
12,16,2
80,17,2
85,18,2
75,19,2
44,20,2
11,21,2
17,22,2
24,3,3
135,4,3
144,5,3
274,6,3
370,7,3
345,8,3
394,9,3
254,10,3
292,11,3
365,12,3
165,13,3
40,14,3
34,15,3
40,16,3
65,17,3
90,18,3
92,19,3
9,3,4
32,4,4
147,5,4
303,6,4
261,7,4
305,8,4
397,9,4
376,10,4
241,11,4
241,12,4
169,13,4
74,14,4
78,15,4
140,16,4
78,17,4
57,18,4
7,19,4
64,20,4
5,21,4
14,3,5
36,4,5
189,5,5
287,6,5
268,7,5
326,8,5
429,9,5
369,10,5
357,11,5
281,12,5
291,13,5
144,14,5
39,15,5
58,16,5
64,17,5
102,18,5
62,19,5
30,20,5
2,21,5
67,3,6
40,4,6
63,5,6
155,6,6
204,7,6
256,8,6
304,9,6
150,10,6
135,11,6
82,12,6
54,13,6
59,14,6
12,15,6
80,16,6
42,17,6
22,18,6
27,19,6
27,20,6
9,21,6
5,3,7
4,4,7
24,5,7
12,6,7
55,7,7
73,8,7
23,9,7
8,10,7
5,14,7
8,16,7
2,17,7
19,18,7
4,19,7
1,20,7
20,21,7
17,4,1
44,5,1
46,6,1
24,7,1
42,8,1
28,9,1
71,10,1
47,11,1
23,12,1
6,14,1
30,15,1
19,16,1
5,17,1
1,18,1
8,19,1
18,20,1
9,2,2
33,3,2
70,4,2
139,5,2
196,6,2
336,7,2
210,8,2
362,9,2
172,10,2
359,11,2
228,12,2
134,13,2
131,14,2
71,15,2
3,16,2
46,17,2
35,18,2
102,19,2
8,20,2
25,21,2
58,4,3
141,5,3
178,6,3
245,7,3
248,8,3
215,9,3
269,10,3
240,11,3
110,12,3
270,13,3
62,14,3
12,15,3
30,16,3
49,17,3
18,18,3
21,19,3
6,20,3
8,2,4
26,3,4
26,4,4
70,5,4
162,6,4
152,7,4
188,8,4
191,9,4
178,10,4
108,11,4
221,12,4
191,13,4
59,14,4
6,15,4
3,16,4
27,17,4
41,18,4
2,20,4
25,4,5
15,5,5
5,6,5
22,7,5
4,8,5
10,11,5
4,12,5
28,13,5
5,21,5
1,22,5
19,7,6
23,9,6
3,10,6
1,11,6
4,14,6
20,15,6
20,16,6
38,18,6
31,19,6
2,2,7
1,3,7
42,4,7
35,5,7
75,6,7
100,7,7
40,8,7
69,9,7
71,10,7
68,11,7
22,12,7
18,13,7
7,14,7
14,15,7
33,16,7
6,17,7
69,19,7
11,23,7
4,6,1
1,8,1
10,9,1
50,11,1
5,12,1
2,14,1
1,16,1
1,17,1
3,20,1
31,6,2
79,7,2
4,8,2
17,9,2
20,10,2
22,11,2
30,14,2
35,15,2
9,16,2
126,17,2
309,18,2
36,19,2
2,20,2
1,21,2
5,2,3
39,3,3
81,4,3
237,5,3
256,6,3
397,7,3
371,8,3
404,9,3
396,10,3
317,11,3
239,12,3
162,13,3
77,14,3
122,15,3
6,16,3
66,17,3
47,18,3
26,19,3
2,20,3
5,3,4
83,4,4
218,5,4
358,6,4
461,7,4
386,8,4
554,9,4
296,10,4
286,11,4
357,12,4
273,13,4
68,14,4
22,15,4
10,16,4
45,17,4
16,18,4
19,19,4
38,20,4
12,21,4
10,3,5
50,4,5
163,5,5
311,6,5
303,7,5
288,8,5
238,9,5
247,10,5
185,11,5
204,12,5
119,13,5
36,14,5
9,15,5
89,17,5
23,18,5
48,19,5
8,20,5
4,21,5
62,3,6
56,4,6
49,5,6
147,6,6
179,7,6
132,8,6
182,9,6
201,10,6
218,11,6
86,12,6
90,13,6
75,14,6
27,15,6
25,16,6
52,17,6
22,19,6
2,22,6
5,2,7
1,5,7
5,6,7
30,8,7
80,9,7
10,10,7
9,11,7
1,12,7
13,13,7
19,14,7
1,15,7
20,18,7
10,19,7
81,20,7
12,22,7
6,7,1
6,9,1
4,10,1
2,11,1
22,12,1
1,13,1
10,15,1
75,16,1
54,17,1
6,18,1
50,19,1
10,21,1
9,22,1
16,2,2
49,3,2
142,4,2
169,5,2
350,6,2
356,7,2
310,8,2
508,9,2
305,10,2
318,11,2
305,12,2
184,13,2
88,14,2
27,15,2
1,16,2
17,18,2
19,20,2
16,3,3
120,4,3
258,5,3
527,6,3
393,7,3
408,8,3
321,9,3
312,10,3
295,11,3
170,12,3
122,13,3
60,14,3
18,15,3
40,16,3
15,17,3
24,18,3
8,20,3
7,3,4
56,4,4
84,5,4
284,6,4
261,7,4
371,8,4
340,9,4
301,10,4
220,11,4
191,12,4
78,13,4
53,14,4
3,15,4
15,16,4
36,17,4
92,18,4
19,19,4
1,20,4
36,4,5
90,5,5
269,6,5
174,7,5
179,8,5
278,9,5
190,10,5
219,11,5
252,12,5
93,13,5
43,14,5
9,15,5
4,16,5
13,17,5
21,19,5
3,20,5
4,1,6
5,2,6
29,3,6
67,4,6
64,5,6
128,6,6
147,7,6
239,8,6
118,9,6
139,10,6
365,11,6
132,12,6
8,13,6
28,14,6
97,15,6
74,16,6
30,17,6
32,18,6
29,19,6
4,20,6
1,22,6
1,4,7
10,5,7
9,7,7
11,8,7
1,13,7
12,14,7
2,15,7
88,16,7
18,17,7
1,20,7
32,6,1
12,7,1
2,9,1
38,11,1
13,12,1
1,13,1
2,14,1
10,15,1
42,16,1
5,18,1
9,19,1
33,20,1
5,2,2
11,3,2
105,4,2
104,5,2
169,6,2
300,7,2
203,8,2
219,9,2
247,10,2
184,11,2
164,12,2
109,13,2
35,14,2
55,15,2
92,16,2
59,17,2
5,18,2
12,19,2
22,3,3
78,4,3
240,5,3
381,6,3
423,7,3
288,8,3
325,9,3
346,10,3
246,11,3
231,12,3
145,13,3
110,14,3
31,15,3
14,16,3
37,17,3
11,20,3
22,21,3
1,22,3
29,3,4
65,4,4
114,5,4
259,6,4
291,7,4
398,8,4
320,9,4
252,10,4
177,11,4
130,12,4
112,13,4
15,14,4
31,15,4
17,16,4
15,17,4
4,18,4
28,19,4
22,20,4
18,3,5
28,4,5
126,5,5
207,6,5
204,7,5
267,8,5
202,9,5
220,10,5
189,11,5
88,12,5
195,13,5
69,14,5
44,15,5
9,16,5
13,17,5
14,18,5
1,19,5
36,20,5
14,21,5
1,23,5
67,3,6
66,4,6
75,5,6
244,6,6
191,7,6
199,8,6
256,9,6
211,10,6
181,11,6
115,12,6
138,13,6
39,14,6
15,15,6
4,16,6
23,17,6
20,18,6
22,19,6
21,6,7
2,7,7
3,8,7
6,12,7
4,13,7
17,15,7
58,16,7
1,17,7
2,18,7
7,19,7
9,20,7
1,21,7
24,4,1
4,5,1
1,7,1
2,9,1
9,10,1
6,11,1
3,15,1
15,16,1
23,17,1
15,18,1
32,19,1
55,20,1
12,2,2
68,3,2
74,4,2
185,5,2
262,6,2
246,7,2
265,8,2
261,9,2
266,10,2
232,11,2
254,12,2
135,13,2
90,14,2
28,15,2
21,16,2
5,17,2
58,18,2
37,19,2
2,1,3
11,3,3
72,4,3
178,5,3
314,6,3
367,7,3
439,8,3
376,9,3
215,10,3
314,11,3
185,12,3
124,13,3
2,14,3
8,15,3
12,16,3
15,18,3
12,19,3
6,20,3
11,21,3
10,3,4
37,4,4
171,5,4
250,6,4
163,7,4
265,8,4
356,9,4
207,10,4
267,11,4
139,12,4
141,13,4
43,14,4
34,15,4
2,17,4
19,18,4
98,19,4
29,20,4
2,22,4
2,3,5
57,4,5
152,5,5
179,6,5
141,7,5
240,8,5
125,9,5
189,10,5
101,11,5
134,12,5
41,13,5
40,14,5
17,15,5
2,17,5
9,18,5
16,19,5
11,20,5
5,23,5
5,3,6
6,4,6
51,5,6
14,6,6
56,7,6
93,8,6
10,9,6
17,10,6
13,14,6
8,16,6
6,17,6
24,18,6
2,19,6
7,2,7
5,3,7
4,5,7
5,6,7
5,8,7
1,10,7
8,17,7
2,19,7
20,22,7
12,4,1
1,5,1
8,7,1
21,10,1
47,11,1
28,12,1
2,13,1
49,14,1
2,15,1
9,17,1
11,18,1
16,19,1
15,20,1
3,21,1
5,1,2
14,2,2
72,3,2
69,4,2
97,5,2
274,6,2
292,7,2
325,8,2
347,9,2
421,10,2
394,11,2
208,12,2
185,13,2
27,14,2
21,15,2
10,16,2
29,17,2
6,18,2
10,19,2
25,20,2
12,21,2
4,22,2
39,3,3
99,4,3
105,5,3
361,6,3
341,7,3
261,8,3
272,9,3
236,10,3
226,11,3
140,12,3
134,13,3
111,14,3
32,15,3
50,16,3
24,17,3
7,18,3
25,19,3
6,20,3
3,21,3
5,3,4
95,4,4
171,5,4
196,6,4
374,7,4
294,8,4
288,9,4
204,10,4
275,11,4
147,12,4
37,13,4
69,14,4
9,15,4
8,16,4
6,17,4
26,18,4
17,19,4
1,20,4
2,21,4
1,22,4
6,2,5
20,3,5
81,4,5
124,5,5
215,6,5
239,7,5
225,8,5
202,9,5
181,10,5
205,11,5
147,12,5
162,13,5
48,14,5
23,15,5
3,16,5
22,17,5
5,18,5
41,19,5
2,21,5
2,1,6
62,3,6
50,4,6
102,5,6
242,6,6
140,7,6
166,8,6
202,9,6
106,10,6
175,11,6
73,12,6
131,13,6
9,14,6
91,15,6
5,16,6
7,18,6
7,5,7
2,6,7
5,7,7
92,8,7
13,10,7
1,11,7
8,12,7
1,13,7
13,16,7
17,17,7
23,19,7
2,22,7
53,5,1
14,6,1
26,7,1
43,10,1
72,11,1
9,12,1
2,14,1
33,15,1
3,16,1
14,17,1
3,18,1
28,19,1
95,20,1
5,2,2
46,3,2
84,4,2
109,5,2
241,6,2
235,7,2
271,8,2
236,9,2
283,10,2
230,11,2
212,12,2
179,13,2
35,14,2
25,15,2
34,16,2
40,17,2
12,18,2
9,19,2
40,20,2
12,3,3
45,4,3
170,5,3
164,6,3
380,7,3
574,8,3
203,9,3
192,10,3
225,11,3
173,12,3
131,13,3
77,14,3
48,15,3
28,16,3
17,17,3
20,18,3
38,19,3
15,20,3
4,3,4
38,4,4
139,5,4
167,6,4
196,7,4
231,8,4
164,9,4
157,10,4
197,11,4
164,12,4
41,13,4
24,14,4
35,15,4
45,16,4
1,17,4
13,18,4
26,19,4
6,20,4
2,0,5
9,4,5
5,5,5
16,7,5
13,8,5
15,9,5
20,10,5
5,11,5
18,13,5
4,17,5
21,18,5
14,19,5
9,20,5
5,1,6
17,2,6
47,3,6
38,4,6
71,5,6
93,6,6
124,7,6
172,8,6
129,9,6
104,10,6
110,11,6
72,12,6
14,13,6
8,14,6
2,16,6
12,17,6
7,18,6
43,20,6
1,0,7
4,2,7
10,6,7
20,7,7
20,8,7
1,9,7
4,10,7
13,19,7
1,23,7
4,4,1
5,6,1
23,7,1
8,8,1
31,11,1
2,12,1
38,14,1
6,15,1
28,16,1
30,18,1
2,19,1
5,20,1
10,2,2
36,3,2
111,4,2
76,5,2
218,6,2
335,7,2
316,8,2
296,9,2
222,10,2
242,11,2
188,12,2
167,13,2
60,14,2
33,15,2
26,16,2
71,17,2
24,18,2
69,19,2
7,21,2
6,3,3
80,4,3
107,5,3
411,6,3
423,7,3
264,8,3
216,9,3
399,10,3
104,11,3
156,12,3
111,13,3
24,14,3
14,15,3
60,16,3
31,17,3
65,18,3
15,19,3
91,20,3
2,22,3
5,3,4
100,4,4
160,5,4
208,6,4
345,7,4
283,8,4
158,9,4
168,10,4
233,11,4
175,12,4
151,13,4
54,14,4
6,15,4
12,16,4
104,17,4
106,18,4
40,19,4
99,20,4
30,21,4
10,3,5
106,4,5
133,5,5
265,6,5
274,7,5
278,8,5
148,9,5
234,10,5
154,11,5
127,12,5
140,13,5
54,14,5
27,15,5
34,17,5
14,18,5
28,19,5
5,1,6
5,2,6
13,3,6
50,4,6
48,5,6
171,6,6
274,7,6
178,8,6
86,9,6
139,10,6
120,11,6
134,12,6
79,13,6
18,14,6
6,15,6
11,16,6
1,18,6
2,23,6
4,3,7
2,4,7
6,5,7
2,6,7
3,9,7
3,10,7
2,11,7
2,12,7
1,13,7
5,14,7
2,15,7
1,8,1
10,10,1
3,12,1
4,15,1
2,16,1
12,17,1
5,4,2
5,5,2
19,6,2
3,7,2
14,8,2
7,10,2
27,11,2
33,12,2
11,13,2
10,14,2
35,15,2
11,17,2
39,18,2
50,19,2
36,20,2
9,1,3
17,2,3
61,3,3
73,4,3
176,5,3
432,6,3
368,7,3
444,8,3
261,9,3
272,10,3
227,11,3
234,12,3
169,13,3
41,14,3
22,15,3
126,16,3
59,17,3
10,18,3
10,19,3
11,20,3
2,22,3
1,2,4
5,3,4
100,4,4
136,5,4
261,6,4
317,7,4
261,8,4
232,9,4
375,10,4
214,11,4
221,12,4
71,13,4
49,14,4
10,15,4
21,16,4
10,17,4
42,18,4
43,19,4
62,20,4
18,3,5
80,4,5
182,5,5
400,6,5
218,7,5
194,8,5
394,9,5
220,10,5
271,11,5
204,12,5
183,13,5
53,14,5
30,15,5
20,16,5
14,17,5
7,18,5
35,19,5
11,21,5
9,2,6
37,3,6
31,4,6
55,5,6
107,6,6
153,7,6
143,8,6
150,9,6
101,10,6
269,11,6
94,12,6
84,13,6
39,14,6
16,15,6
38,16,6
21,17,6
20,18,6
15,19,6
4,20,6
9,2,7
7,5,7
3,6,7
9,7,7
5,8,7
13,11,7
13,14,7
5,15,7
2,18,7
2,19,7
51,7,1
3,8,1
1,9,1
6,10,1
2,11,1
14,13,1
27,15,1
9,17,1
86,18,1
11,19,1
2,21,1
2,3,2
114,4,2
116,5,2
213,6,2
271,7,2
269,8,2
280,9,2
236,10,2
236,11,2
285,12,2
138,13,2
71,14,2
12,15,2
36,16,2
17,17,2
2,18,2
24,3,3
30,4,3
136,5,3
238,6,3
176,7,3
267,8,3
283,9,3
231,10,3
175,11,3
233,12,3
117,13,3
50,14,3
67,15,3
21,16,3
27,17,3
39,18,3
23,19,3
8,20,3
23,3,4
69,4,4
197,5,4
156,6,4
212,7,4
267,8,4
363,9,4
251,10,4
219,11,4
280,12,4
129,13,4
34,14,4
23,15,4
18,16,4
20,17,4
24,18,4
37,19,4
23,23,4
1,1,5
5,2,5
8,3,5
70,4,5
154,5,5
196,6,5
228,7,5
278,8,5
231,9,5
253,10,5
160,11,5
125,12,5
104,13,5
59,14,5
18,15,5
9,16,5
8,17,5
7,18,5
35,19,5
2,20,5
53,3,6
31,4,6
45,5,6
135,6,6
226,7,6
90,8,6
178,9,6
150,10,6
169,11,6
70,12,6
21,13,6
13,14,6
9,15,6
6,16,6
19,17,6
2,18,6
43,19,6
2,21,6
2,8,7
8,9,7
37,10,7
2,12,7
65,17,7
1,18,7
13,19,7
2,20,7
2,21,7
4,9,1
2,10,1
1,11,1
15,12,1
14,13,1
1,14,1
1,16,1
1,17,1
13,18,1
66,19,1
5,20,1
19,21,1
12,2,2
23,3,2
61,4,2
269,5,2
170,6,2
286,7,2
231,8,2
239,9,2
343,10,2
236,11,2
219,12,2
96,13,2
65,14,2
15,15,2
172,16,2
32,17,2
32,18,2
16,19,2
5,20,2
6,21,2
4,22,2
2,23,2
2,4,3
78,5,3
23,6,3
80,7,3
71,8,3
91,9,3
134,10,3
55,11,3
102,12,3
297,13,3
39,14,3
24,16,3
39,17,3
9,18,3
49,19,3
90,20,3
6,21,3
5,3,4
83,4,4
171,5,4
377,6,4
322,7,4
464,8,4
178,9,4
406,10,4
245,11,4
294,12,4
156,13,4
49,14,4
42,15,4
12,16,4
47,17,4
16,18,4
27,19,4
24,20,4
1,21,4
8,3,5
48,4,5
71,5,5
243,6,5
239,7,5
369,8,5
309,9,5
246,10,5
194,11,5
160,12,5
103,13,5
53,14,5
15,15,5
35,16,5
5,17,5
18,18,5
36,19,5
3,20,5
59,3,6
27,4,6
86,5,6
90,6,6
167,7,6
175,8,6
214,9,6
109,10,6
76,11,6
72,12,6
56,13,6
10,14,6
1,15,6
15,16,6
14,17,6
10,19,6
34,20,6
2,21,6
2,5,7
4,7,7
24,8,7
4,12,7
5,14,7
16,15,7
49,17,7
2,20,7
26,6,1
54,7,1
5,9,1
49,10,1
25,11,1
73,12,1
34,13,1
7,14,1
8,16,1
29,17,1
27,18,1
2,21,1
32,3,2
51,4,2
173,5,2
221,6,2
201,7,2
356,8,2
317,9,2
367,10,2
197,11,2
203,12,2
157,13,2
53,14,2
20,15,2
18,17,2
22,18,2
33,19,2
8,20,2
11,3,3
123,4,3
191,5,3
234,6,3
342,7,3
258,8,3
238,9,3
258,10,3
311,11,3
138,12,3
84,13,3
33,14,3
42,15,3
6,16,3
20,17,3
43,18,3
59,19,3
42,20,3
52,21,3
27,3,4
81,4,4
92,5,4
200,6,4
239,7,4
214,8,4
238,9,4
271,10,4
162,11,4
154,12,4
92,13,4
46,14,4
54,15,4
34,16,4
3,17,4
24,18,4
30,19,4
2,20,4
2,3,5
75,4,5
85,5,5
300,6,5
290,7,5
212,8,5
206,9,5
134,10,5
186,11,5
68,12,5
77,13,5
20,14,5
1,15,5
2,16,5
27,17,5
37,18,5
25,19,5
17,20,5
60,3,6
62,4,6
45,5,6
122,6,6
192,7,6
146,8,6
136,9,6
45,10,6
161,11,6
47,12,6
39,13,6
18,14,6
17,15,6
12,16,6
2,17,6
7,18,6
2,19,6
